data,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2010-06,0.256014910,0.817930119,0.516649756,0.665971097,1.793946512,1.045515783,1.734799721,0.410659566,1.571338781,1.289577458,5.018896619,2.309819547,5.183910597,11.953235610,2.127642084,3.895296152,3.776024591,3.214837642,0.075047238,0.986374963,0.382948821,0.128032039,0.028053300,1.015465540,1.548537423,0.932744461,0.233448501
2010-07,0.320018638,1.226895178,0.688866341,0.443980731,2.229242357,1.493593975,1.662516399,0.486707634,1.635475057,0.875492953,5.902727470,3.106309046,4.990650772,11.376403860,2.079286582,3.966638572,5.230304332,3.926084908,0.093809047,1.308703882,0.354227659,0.112028034,0.018702200,0.773688031,1.186113771,0.799495252,0.622529337
2010-08,0.256014910,0.954251805,0.373135935,0.887961462,2.070952959,1.493593975,1.445666434,0.517126861,1.507202504,1.455211259,6.249946733,3.212507646,4.695076922,13.587592220,2.466130598,4.608720355,4.296503656,3.897635017,0.137586602,1.238421636,0.392522541,0.080020024,0.037404400,0.967110038,0.823690119,0.832807554,1.245058673
2010-09,0.512029821,0.954251805,0.516649756,0.887961462,1.503749282,0.746796988,2.385349616,0.319401885,1.539270642,1.573521118,6.028989021,4.646188745,4.456344197,13.363268760,2.901330115,5.386352737,4.959859328,3.641586002,0.150094475,1.393527281,0.651012995,0.240060073,0.065457700,1.837509073,0.955480538,1.182586727,0.933794005
2010-10,0.768044731,0.954251805,0.258324878,1.775922925,1.411413800,0.298718795,2.457632938,0.243353817,1.539270642,1.478873231,7.922912273,4.380692245,4.376766622,13.811915680,2.707908107,7.027228405,6.021228402,4.153684033,0.125078729,2.316890576,1.369042034,0.224056068,0.093511000,2.369419594,2.339279937,1.349148238,1.128334423
2010-11,0.768044731,3.271720475,0.287027642,0.887961462,1.398223017,0.896156385,2.602199581,0.334611499,1.282725535,1.419718302,4.513850419,2.362918847,3.353626373,12.433928730,2.804619111,6.299535718,5.919173683,5.064080534,0.162602348,1.732820880,0.737176480,0.400100121,0.102862101,1.934220077,1.713275447,1.165930576,1.595231425
2010-12,0.960055914,1.363216865,0.287027642,0.221990366,1.437795366,1.045515783,2.313066295,0.441078794,0.929976013,1.490704217,5.997423633,5.177181744,3.785618923,14.388747420,3.723373647,6.463623285,5.847735380,4.779581627,0.175110221,1.708585623,1.091404139,0.704176213,0.196373101,2.852974613,1.713275447,1.365804389,1.050518256
2011-01,0.380600778,1.741726131,0.367399044,0.869253420,1.508728580,1.315195328,2.498408157,0.315990900,1.464815140,1.078526709,6.221361027,4.272923774,3.677421960,11.929818310,2.871062039,6.490496849,5.783452240,4.877285523,0.161363617,1.457179763,0.780034986,0.649036719,0.354047273,2.219942185,1.723052755,1.397861699,1.340997196
2011-02,0.317167315,1.473768265,0.480444903,1.086566775,1.586766265,0.730664071,1.855960345,0.270849343,0.827938992,2.614254958,6.096308544,5.090582028,3.981993718,11.198122790,3.349572379,5.696031661,4.942038505,3.467665429,0.161363617,1.173438489,0.722959255,0.379923933,0.242242871,2.381392525,1.495479750,1.167625655,0.996169346
2011-03,0.444034241,0.937852532,0.536967833,1.086566775,2.224074028,1.753593771,2.212875796,0.346085271,0.955314222,2.520470027,6.909149684,4.721317010,4.839306813,16.256365750,4.402295127,6.192572403,4.719013178,4.087898271,0.111713273,1.154201792,0.761009742,0.316603277,0.121121435,2.785018377,1.332927603,1.200516518,1.072797757
2011-04,0.507467704,1.339789332,0.452183438,0.651940065,1.898917006,2.045859400,2.498408157,0.346085271,1.528502755,2.426685095,5.564835492,3.323385158,4.974672038,14.920226100,3.349572379,5.419387533,4.936969748,4.228860280,0.086888101,0.976262349,0.580269928,0.269112786,0.083853301,1.856678918,1.300417174,1.611652312,0.919540935
2011-05,0.824635020,1.071831465,0.876105412,0.651940065,2.419168241,1.169062514,3.140855969,0.421321200,1.687721792,2.848717286,7.940832668,4.694940937,6.655456922,16.065488660,3.158168243,6.150011768,4.597362999,4.877285523,0.074475515,1.149392618,0.409042736,0.174131803,0.046585167,1.654865992,1.495479750,1.167625655,0.842912523
2011-06,0.697768094,1.071831465,0.678275158,0.869253420,2.133030062,2.045859400,3.212239059,0.586840243,2.069847481,2.708039889,7.503148978,4.114667338,5.335645973,13.870402090,2.536104801,5.518695681,4.977519807,5.131017140,0.099300687,1.055613723,0.332941762,0.142471475,0.046585167,0.928339459,2.210709196,1.036062201,0.881226729
2011-07,0.507467704,0.267957866,0.480444903,0.217313355,2.224074028,2.338125028,2.427025067,0.767406472,3.088849318,1.840529275,7.878306427,5.749983845,6.057593843,13.838589240,2.727508937,4.937033668,5.301920284,4.877285523,0.080681808,1.440347653,0.428067980,0.063320655,0.027951100,1.210877555,2.308240484,0.937389610,0.766284112
2011-08,0.126866926,1.875705064,0.480444903,1.086566775,2.302111713,1.899726586,2.141492706,0.737312100,2.643036014,2.180499651,8.315990117,4.747693083,6.091435149,14.379407670,2.631806869,5.731498856,5.545220641,4.905477925,0.136538445,1.300881603,0.551732063,0.047490492,0.027951100,0.968702044,1.723052755,0.904498747,1.149426168
2011-09,0.380600778,1.339789332,0.310876114,1.086566775,1.768854197,1.607460957,1.998726526,0.601887429,2.197222710,2.426685095,8.003358910,5.090582028,5.798143827,13.552273600,2.918913073,5.376826898,5.646595790,3.946936261,0.080681808,1.591836639,0.656370902,0.063320655,0.018634067,1.574140822,1.235396315,0.608480975,1.226054579
2011-10,0.570901167,2.411620797,0.508706368,1.086566775,1.664803950,1.607460957,3.069472879,0.677123357,2.133535096,1.992929788,7.534412099,4.800445228,5.549974247,14.602097610,2.583955835,7.093439179,7.146947992,5.215594345,0.117919566,2.051112768,1.065413639,0.364093769,0.121121435,2.986831303,1.723052755,0.608480975,1.877396075
2011-11,0.570901167,2.277641864,0.593490763,0.217313355,1.586766265,0.292265629,3.069472879,0.571793057,2.038003674,1.969483556,7.440622736,4.193795556,4.805465506,12.216133950,2.918913073,7.320429233,6.356221831,4.933670327,0.111713273,1.909242131,1.132001991,0.379923933,0.158389569,4.843510221,1.918115331,0.493362953,1.455939813
2011-12,0.761201557,1.875705064,0.565229298,1.086566775,1.339646929,0.584531257,2.783940518,0.496557129,1.082689452,1.957760439,6.721570959,3.428889449,3.733824138,16.860809880,2.583955835,7.164373571,7.096260418,5.271979149,0.074475515,1.750539385,0.998825286,0.633206555,0.288828038,3.995895932,1.267906744,1.216961950,1.226054579
2012-01,0.503141173,1.845052492,0.835425378,1.277889948,1.835083485,1.002001139,2.468797921,0.327658194,1.866646756,2.079943017,6.505177192,4.403472348,4.131663231,13.899980790,2.842433938,6.123309485,6.597723977,5.645506359,0.209470984,1.770831536,0.765757951,0.422979638,0.232113281,5.548707271,1.765459649,1.543461604,1.434757065
2012-02,0.817604407,2.372210347,0.946815428,0.638944974,2.027574760,1.860859259,3.103631672,0.327658194,1.898284836,2.068323223,6.691039397,4.875272956,4.243632424,12.667937040,2.605564443,5.446077100,5.580365012,3.912727179,0.160183694,1.801856886,0.803573159,0.407313725,0.213544218,4.830169639,1.444466985,1.770919104,1.132702946
2012-03,0.880497053,1.449684101,0.835425378,1.703853264,2.091738518,1.431430199,2.539335005,0.312764640,1.455351708,2.742271240,8.301845178,5.556762724,3.795755651,15.669069260,2.510816645,6.313781094,5.791895094,4.108363538,0.141700960,1.572746607,0.699581338,0.328984163,0.092845312,4.710413367,2.246948644,1.770919104,1.510270595
2012-04,1.194960286,1.976841955,0.974662941,2.981743212,2.309895296,2.862860398,3.174168756,0.372338857,1.581904030,2.475015992,7.279603048,4.927695246,4.131663231,14.942479350,2.700312241,5.333205035,5.333579917,4.471688205,0.110896403,1.417619855,0.605043320,0.156659125,0.064991719,4.151550764,2.407444975,1.965882675,1.094946182
2012-05,1.320745580,2.240420883,0.835425378,1.490871606,2.771874356,4.008004558,5.219744176,0.640422834,3.828207753,3.230302562,9.014316966,5.530551579,6.471819370,15.289978870,3.363546827,5.431968092,5.091831252,4.527584307,0.073930936,1.424779551,0.529412905,0.156659125,0.009284531,2.874150529,2.311147176,1.673437318,1.170459711
2012-06,1.069174993,1.317894637,0.751882840,1.064908290,2.027574760,3.292289458,3.526854173,0.461700183,2.752513013,2.893328554,8.023051870,4.639372652,5.598459662,15.037251950,3.031929534,4.550155090,5.127086266,4.443740154,0.110896403,1.252946841,0.330883065,0.172325038,0.083560781,1.636669051,2.535842041,1.494720711,0.679621768
2012-07,1.132067640,1.581473564,1.030357966,1.064908290,2.078905767,2.004002279,2.609872088,0.610635725,2.246303723,2.800370207,6.660062363,6.159619058,6.718151595,13.710435600,2.226573252,3.830595680,5.137159127,4.164259641,0.123218226,1.560813780,0.463236292,0.046997738,0.009284531,1.876181595,2.086452312,1.559708568,0.830648827
2012-08,0.943389700,1.317894637,0.863272890,1.916834922,2.348393551,1.717716239,2.468797921,0.417019520,2.594322610,2.045083636,7.403511185,5.661607304,6.460622450,12.762709640,2.795060039,3.731832624,5.837222969,4.331947948,0.067770024,1.992782119,0.794119357,0.109661388,0.027853594,1.756425323,1.958055247,1.608449461,1.321486771
2012-09,0.566033820,1.976841955,0.640492790,1.277889948,1.886414492,1.288287179,3.244705839,0.446806628,1.613542111,0.499651116,6.752993466,5.949929898,6.303865580,13.299754350,3.126677332,4.945207315,5.968170162,5.785246615,0.209470984,2.102564128,0.945380187,0.172325038,0.037138125,2.315287926,1.733360382,1.803413032,1.397000301
2012-10,0.817604407,2.503999810,0.473407714,1.703853264,1.398769929,0.858858120,2.680409172,0.461700183,1.929922917,1.882406529,6.629085329,4.010305174,5.643247340,11.657029350,3.316172928,5.410804580,6.028607328,6.931116717,0.283401920,2.541692164,1.408616479,0.344650075,0.157837031,4.231388279,2.503742774,1.900894818,1.850081479
2012-11,1.257852933,1.186105173,0.668340302,1.490871606,1.167780400,0.715715100,4.161687924,0.461700183,2.467770287,2.231000331,7.930120767,4.770428377,5.710428855,15.542705800,2.510816645,6.377271630,7.912232341,5.366025846,0.184827339,2.226665530,1.408616479,0.454311463,0.250682343,3.991875735,2.182750111,1.982129639,1.963351774
2012-12,0.503141173,1.713263028,0.668340302,0.851926632,1.142114897,1.002001139,3.526854173,0.402125966,2.056475239,2.184521157,8.797477726,6.133407913,4.971432180,15.542705800,2.226573252,5.961055893,7.030857001,5.282181692,0.184827339,2.073925343,0.964287791,0.422979638,0.343527656,4.630575852,2.728437639,1.673437318,1.397000301
2013-01,0.520768840,1.674258786,1.129225107,0.819551214,1.731568271,1.360551622,3.382574599,0.765347311,2.889296601,2.938973246,9.484406894,5.569150584,5.353720184,17.782840320,2.231673181,6.121986259,6.060206991,3.698527309,0.177162214,2.097853939,1.082067549,0.452198544,0.376207795,3.981031737,2.765458046,1.585316118,1.218742394
2013-02,1.562306520,2.446993611,0.709048323,0.819551214,1.555901925,1.768717109,4.329695487,0.632883353,3.171945181,2.358013418,7.646803058,4.342915593,5.549190698,15.722817930,2.778205389,5.696571362,5.574613482,3.698527309,0.140507963,1.967310626,1.000230508,0.361758835,0.241847868,3.401269833,2.325498812,1.492062229,1.003670207
2013-03,0.752221658,1.416680511,1.024180911,1.639102428,1.969972599,1.224496460,3.788483551,0.588728701,3.674431547,2.859233662,7.498609201,4.317369031,6.407089064,19.661096020,3.279193246,6.301458169,6.152469758,3.542251507,0.109962754,1.942118057,0.982044498,0.346685550,0.197061226,3.478571420,2.639755408,1.942789361,1.541350675
2013-04,0.694358453,2.189415336,1.102964058,0.614663410,2.057805772,1.496606784,3.517877583,0.603446918,3.674431547,2.745319970,8.506327433,5.518057460,7.091235862,18.025195890,2.914838441,5.337627542,5.409511689,4.011078913,0.091635628,1.887152452,0.654696332,0.271319126,0.152274584,2.512301581,2.545478429,1.756281582,1.505505310
2013-05,0.983674475,1.159102237,0.997919862,1.434214624,1.995067791,2.312937757,6.223937263,1.089148096,5.778593201,2.961755984,8.032107088,6.258907767,7.818820553,20.660812770,4.235624609,5.483863913,6.055351056,4.766411954,0.122180838,1.953569225,0.518301263,0.195952702,0.080615956,2.976111104,3.268268600,2.175924084,1.433814581
